shortcut,generalFarsi,generalEnglish,technicalFarsi,technicalEnglish
Done,,"Dear Client,


We are pleased to inform you that your request has been successfully completed. 


If you have any further questions or need additional assistance, please do not
hesitate to reach out to us. 


Best regards.",,
Clear request,,"Dear Client,


In order to achieve the best possible outcome, we kindly request that you
provide us with a clear and concise request. Your cooperation in this matter is
greatly appreciated.


Best regards.",,
درخواست بررسی ثبت شد,"با سلام و احترام،

درخواست بررسی حساب شما به بخش فنی ارجاع داده شده است و طی ۴۸ ساعت کاری آینده بررسی انجام خواهد شد.

با سپاس از همراهی شما.",,,
Activate Trade button,,"Dear Client,


To activate the trade button in your trading account, please pay attention to
the tips below:
1. Make sure you have logged in using your password, not your investor password.
2. Ensure you have deposited the minimum amount in your trading account:
 *  ECN: $100
 *  STN: $100
 *  Social Trade: $200
 *  ECN PRO: $5000

3. Ensure you have the correct symbol on your Market Watch list in MT:
 *  ECN: symbols containing a dot sign ( EURUSD.).
 *  STN: symbols containing an exclamation mark ( EURUSD!).
 *  Social Trade: symbols containing a hash sign ( EURUSD#).
 *  ECN PRO: symbols without any signs ( EURUSD).

4. Make sure your trading account is connected to MT.
5. Ensure you have a strong internet connection.


Best regards.",,
آی پی,"با سلام و احترام،

اشتراک گذاری حساب و همچنین تبانی کاربران به عنوان یک روش شناخته شده سو استفاده از خدمات پراپ فرم هست و در تمامی پراپ فرم های معتبر چنین قانونی وجود دارد.

در صورتی که یک تریدر ۲ یا چند حساب مختلف از طریق ۲ یا چند اکانت با نام های متفاوت از هم خریداری کند و یا در مسابقات رایگان ماهانه شرکت داشته باشد، تمامی حساب های این شخص بسته خواهد شد. یکی از چندین روش تشخیص چنین استراتژي هایی بررسی آدرس آی پی کاربران است. بدین منظور، در صورتی که بین حساب های کاربران مختلف آدرس آی پی یکسان وجود داشته باشد تیم فنی حساب چنین اشخاصی را ضبط خواهد کرد.

پی نوشت ۱: استفاده از وی‌پی‌ان مجاز است و تغییر آی پی + تغییر دستگاه، مانعی ندارد و منجر به بسته شدن حساب کاربر نخواهد شد.
‍
پ�� نوشت ۲: در صورتی که در یک محیط کار اشتراکی، در حال پاس کردن چالش و یا شرکت در مسابقه هستید، میباست از خدمات آی پی یکسان مانند تهیه وی‌پی‌اس اقدام کنید تا آی پی شما با دیگران متمایز باشد. فور‌اف‌ایکس هیچ مسئولیتی بابت آی پی آدرس کاربران ندارد.

با سپاس از همراهی شما",,,
شماره پوزیشن,"با سلام و احترام،


لطفا شماره حساب و شماره پوزیشن مورد نظر را ارسال بفرمایید.


با سپاس از همراهی شما",,,
KYC department,,"Dear Client,


Please send your request regarding the items listed below to kyc@opofinance.com:
- Verification and investigation of uploaded documents.
- Change email request.
- Delete user account request.
- Banned account issues.


Best regards.",,
server2 connection,,"Dear Client,

To connect your trading account to MetaTrader, please follow the steps below carefully:

 1. Open MetaTrader.
 2. In the top left menu, click File, then select Open an Account.
 3. In the new window, search for the server OpogroupLLC.
 4. Select the displayed server and click Next.
 5. Choose Existing Trade Account.
 6. In the Login field, enter your trading account number.
 7. In the Password field, copy and paste your trading account password exactly as it appears in your email.
 8. Make sure the server name is OpogroupLLC_server2.
 9. Finally, click Finish to complete the connection.



Thank you,
Opofinance Support Team",,
NO bonus,"با سلام و احترام؛


لطفا توجه داشته باشید شرایط برداشت سود حساب بونس به شرح زیر می باشد :
1. انجام 25 لات معامله در حساب کاربری (معاملات بالای 120 ثانیه و اختلاف 3 پیپ، بدون احتساب معاملات ارز دیجیتال و سهام).
2. کسب حداقل 100 دلار سود معاملات
پس از بررسی حساب شماره "" "" مشخص گردید که مجموع لات معاملاتی مقدار "" "" لات بوده و شرایط برداشت سود بونس در این حساب رعایت نشده است.


با تشکر.",,,
بلاک,"با سلام و احترام،


چنانچه تمایل به دریافت ایمیل از FORFX را ندارید می توانید مراحل زیر را طی بفرمایید:


1. اپلیکیشن Gmail را روی گوشی باز کنید.
2. ایمیلی از آدرس موردنظر که می‌خواهید بلاک کنید را باز کنید.
3. روی سه‌نقطه عمودی (بالا سمت راست) ضربه بزنید.
4. گزینه Block را انتخاب کنید.
• با این کار، ایمیل‌های آن آدرس مستقیماً به پوشه Spam (هرزنامه) منتقل می‌شوند.


موفق و پرسود باشید",,,
